,Right_row,Right_column,Right_brightness,Left_row,Left_column,Left_brightness,Brightness
0,269,367,497.625,269,112,43.75,0.08791760864104496
image_num,Right_row,Right_column,Right_brightness,Left_row,Left_column,Left_brightness,Brightness,Neuron_0_row,Neuron_0_column,Neuron_0_brightness,Neuron_1_row,Neuron_1_column,Neuron_1_brightness
22,221,424,515.925925925926,221,169,102.37037037037037,0.19842067480258432,221,424,707,214,434,33390
23,213,406,597.7777777777778,213,151,96.77777777777777,0.16189591078066912,213,406,785,206,418,33386
24,240,406,521.8333333333334,240,151,93.45833333333333,0.17909613541999359,240,406,704,234,415,33320
25,236,387,668.9333333333333,236,132,93.13333333333334,0.13922662945983658,236,387,878,230,397,33383
26,250,386,593.2105263157895,250,131,96.15789473684211,0.16209741815278148,250,386,778,244,395,33303
27,252,382,688.0,252,127,92.5,0.13444767441860464,252,382,846,246,393,33326
28,261,378,671.45,261,123,102.15,0.15213344254970587,261,378,846,256,391,33373
29,272,376,660.125,272,121,82.4375,0.12488165120242378,272,376,830,264,388,33423
30,263,383,752.2631578947369,263,128,99.21052631578948,0.13188273980270063,263,383,949,256,394,33398
31,245,402,707.35,245,147,107.35,0.15176362479677669,245,402,917,240,414,33328
32,221,423,825.2,221,168,89.8,0.1088221037324285,221,423,1095,245,402,32879
33,199,432,748.7142857142857,199,177,94.21428571428571,0.12583476435794697,196,444,33326,199,432,993
34,200,456,772.5714285714286,200,201,79.85714285714286,0.10336538461538462,198,468,33372,200,456,1012
35,180,449,723.625,180,194,127.75,0.17654171704957677,183,462,33441,180,449,955
36,225,481,717.3125,225,226,160.6875,0.22401324387906246,233,491,33386,225,481,954
37,232,447,828.0,232,192,165.45454545454547,0.1998243302591129,244,454,33445,232,447,1056
38,267,461,743.7692307692307,267,206,118.3076923076923,0.1590650532630055,281,462,33531,267,461,956
39,275,422,782.5,275,167,99.21428571428571,0.12679141944317662,289,420,33419,275,422,1036
40,280,438,782.0,280,183,83.25,0.10645780051150895,293,432,33524,280,438,1011
41,285,422,844.9090909090909,285,167,70.81818181818181,0.08381751667742629,296,413,33578,285,422,1070
42,272,438,685.5882352941177,272,183,78.0,0.11377091377091376,281,428,33421,272,438,902
43,271,423,786.2,271,168,62.86666666666667,0.07996268973119647,277,413,33425,271,423,980
44,261,446,737.125,261,191,77.9375,0.10573172799728675,263,432,33417,261,446,934
45,260,440,776.7142857142857,260,185,85.78571428571429,0.11044693764943904,260,426,33406,260,440,1003
46,266,471,653.52,266,216,119.4,0.18270290121189867,261,459,33431,266,471,871
47,279,451,692.7272727272727,279,196,110.0909090909091,0.1589238845144357,268,441,33506,279,451,877
48,284,471,643.4444444444445,284,216,99.16666666666667,0.15411845967881196,273,467,33525,284,471,844
49,301,432,719.875,301,177,95.5625,0.13274874110088558,287,428,33534,301,432,918
50,298,442,686.7894736842105,298,187,88.47368421052632,0.1288221319641352,284,442,33539,298,442,893
51,312,411,612.0666666666667,312,156,76.2,0.12449624223940746,299,412,33469,312,411,802
52,292,419,696.0666666666667,292,164,76.86666666666666,0.11043003543721865,280,421,33528,292,419,921
53,298,403,365.0416666666667,298,148,25.958333333333332,0.07111060381235018,298,403,462,299,403,461
54,302,420,681.6875,302,165,96.0625,0.14091867607958192,288,417,33360,302,420,908
55,315,416,644.7,315,161,94.45,0.1465022491081123,303,413,33351,315,416,813
56,289,431,664.55,289,176,119.05,0.17914378150628246,277,426,33285,289,431,853
57,299,417,739.0,299,162,98.92857142857143,0.13386816160835105,289,412,33319,299,417,982
58,285,432,720.4,285,177,118.66666666666667,0.16472330186933187,273,424,33268,285,432,929
59,298,423,728.6923076923077,298,168,96.3076923076923,0.13216510081283647,287,414,33319,298,423,910
60,279,447,753.7142857142857,279,192,103.64285714285714,0.13750947687642154,272,438,33341,279,447,932
61,285,436,702.2666666666667,285,181,104.46666666666667,0.14875640782228974,278,426,33251,285,436,900
62,269,457,745.7857142857143,269,202,112.64285714285714,0.1510391724930562,262,447,33281,269,457,999
63,268,423,729.125,268,168,118.75,0.16286644951140064,260,414,33340,268,423,951
64,259,420,621.3333333333334,259,165,135.0,0.21727467811158796,259,420,807,348,376,33272
65,257,384,602.625,257,129,116.70833333333333,0.19366659752471824,257,384,801,346,342,33249
66,261,385,538.5142857142857,261,130,111.14285714285714,0.20638794567062818,261,385,700,346,339,33219
67,271,393,292.5,271,138,35.357142857142854,0.12087912087912087,271,393,393,350,319,33217
68,287,435,659.2105263157895,287,180,106.47368421052632,0.16151696606786428,287,435,812,281,425,33336
69,281,451,780.2666666666667,281,196,73.26666666666667,0.09389952153110048,281,451,994,278,440,33333
70,245,477,740.5,245,222,44.1875,0.059672518568534776,245,477,917,248,465,33368
71,232,446,811.0,232,191,53.75,0.06627620221948212,232,446,981,235,433,33476
72,218,466,780.5,218,211,53.42857142857143,0.06845428754461426,218,466,991,222,455,33497
73,202,431,758.9411764705883,202,176,64.41176470588235,0.08487056270345682,202,431,963,206,421,33399
74,213,445,784.2857142857143,213,190,73.64285714285714,0.09389799635701274,213,445,1051,220,433,33361
75,193,424,703.875,193,169,72.0625,0.10237968389273663,193,424,911,199,413,33293
76,211,446,670.4705882352941,211,191,69.6470588235294,0.1038778733111072,211,446,883,215,433,33298
77,203,439,712.8333333333334,203,184,87.22222222222223,0.12235990959395215,203,439,954,205,426,33282
